Episode,Average Waiting Time
1,5.64462168987425
2,6.803689754766891
3,6.0129109760352515
4,6.136606175534876
5,6.272180471106276
6,5.820630858159299
7,6.174156022799695
8,5.976865072159177
9,6.238274680361712
10,6.428041159240725
