step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_waiting_time
275.0,10,129.0,4.777777777777778,5.537309778111258,10,143.0,0.25806054545479085,10,143.0,81.62962962962963
280.0,11,159.0,4.96875,5.59147387751344,11,184.0,0.28639707119320323,11,184.0,70.6875
285.0,8,188.0,6.714285714285714,6.386227591546711,8,211.0,0.3260187574435466,8,211.0,82.53571428571429
290.0,7,151.0,4.194444444444445,7.547103467308053,7,203.0,0.4552540845213364,7,203.0,65.22222222222223
295.0,12,198.0,5.823529411764706,6.984120128061246,12,213.0,0.4076238930689212,12,213.0,70.44117647058823
300.0,10,215.0,6.515151515151516,4.608122131175991,10,247.0,0.24472303073540244,10,247.0,74.36363636363636
305.0,13,257.0,7.787878787878788,5.7317196433337765,13,271.0,0.3097467790379658,13,271.0,76.21212121212122
310.0,12,155.0,4.428571428571429,5.835624051973286,12,176.0,0.2727848719831154,12,176.0,73.54285714285714
315.0,19,232.0,6.823529411764706,4.845162581120378,19,246.0,0.21170878708509444,19,246.0,77.97058823529412
320.0,15,152.0,4.606060606060606,4.120965330049401,15,258.0,0.19031823061166855,15,258.0,83.06060606060606
325.0,17,215.0,5.972222222222222,5.8581606592738105,17,245.0,0.3217153486190015,17,245.0,78.33333333333333
330.0,14,193.0,5.078947368421052,5.591399097448286,14,267.0,0.24316798844989074,14,267.0,76.26315789473684
335.0,8,156.0,4.216216216216216,6.548270233518422,8,250.0,0.3107927900283637,8,250.0,79.8108108108108
340.0,8,34.0,0.9714285714285714,4.6146081855342755,8,216.0,0.1780022751780073,8,216.0,85.45714285714286
345.0,12,76.0,2.235294117647059,5.336219453376273,12,189.0,0.23793000142858342,12,189.0,89.3529411764706
350.0,13,98.0,2.8,4.466269063429035,13,211.0,0.11840639762520887,13,211.0,88.77142857142857
355.0,9,110.0,3.235294117647059,6.072141095886765,9,196.0,0.29396776861003854,9,196.0,92.97058823529412
360.0,3,21.0,0.65625,4.982015733991263,3,153.0,0.16024909229016288,3,153.0,99.8125
365.0,9,50.0,1.2820512820512822,7.306287748050516,9,124.0,0.4218230732603833,9,124.0,82.64102564102564
370.0,9,58.0,1.5675675675675675,5.85065282622893,9,137.0,0.29878903835691634,9,137.0,88.5945945945946
375.0,9,50.0,1.2820512820512822,5.568155944310086,9,115.0,0.25542522090630376,9,115.0,85.07692307692308
380.0,10,92.0,2.5555555555555554,6.620670426598593,10,125.0,0.22278302330646668,10,125.0,93.69444444444444
385.0,7,64.0,1.7777777777777777,6.315798372046125,7,120.0,0.33923141817844366,7,120.0,94.86111111111111
390.0,14,120.0,3.6363636363636362,4.784056126694692,14,150.0,0.15790197657055124,14,150.0,105.18181818181819
395.0,15,157.0,4.617647058823529,4.3921088301048625,15,199.0,0.18405468760684227,15,199.0,104.3529411764706
400.0,10,174.0,4.833333333333333,5.635296905790785,10,220.0,0.28108082685041536,10,220.0,100.16666666666667
405.0,5,76.0,2.0,6.6779551902631065,5,192.0,0.3757071962018265,5,192.0,95.92105263157895
410.0,12,107.0,2.9722222222222223,5.257029360529834,12,159.0,0.2381465989196127,12,159.0,102.36111111111111
415.0,16,134.0,3.526315789473684,4.893697101950012,16,202.0,0.21031280643115474,16,202.0,98.92105263157895
420.0,10,150.0,4.411764705882353,4.96747071065284,10,202.0,0.15387148423543734,10,202.0,112.3529411764706
425.0,10,192.0,5.1891891891891895,7.588633298946552,10,223.0,0.35820167975635486,10,223.0,104.64864864864865
430.0,7,192.0,6.0,5.913833529005583,7,236.0,0.2808202288266176,7,236.0,122.375
435.0,14,249.0,6.384615384615385,6.237505311474611,14,271.0,0.3587429644405768,14,271.0,101.87179487179488
440.0,12,279.0,7.54054054054054,6.597898397265874,12,321.0,0.38137541243145184,12,321.0,109.37837837837837
445.0,8,282.0,7.05,6.33466822203536,8,324.0,0.3374688390165723,8,324.0,102.275
450.0,14,336.0,9.08108108108108,6.781335779409275,14,351.0,0.2948416837770471,14,351.0,112.16216216216216
455.0,9,210.0,5.675675675675675,6.558953697165442,9,324.0,0.3364310277436576,9,324.0,113.75675675675676
