step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,0,0.0,0.0,12.914202188123676,0,0.0,0.9154097161916311,0,0.0,0.0
10.0,0,0.0,0.0,12.489204655882704,0,0.0,0.8860193319625059,0,0.0,0.0
15.0,5,9.0,0.5,6.198137955216444,5,9.0,0.3991753968296033,5,9.0,0.5
20.0,8,46.0,2.5555555555555554,7.293089617962396,8,46.0,0.3929274472620053,8,46.0,2.5555555555555554
25.0,4,45.0,2.0454545454545454,5.862854981217052,4,59.0,0.35200326452926556,4,59.0,3.4545454545454546
30.0,6,75.0,3.75,7.742159149336294,6,75.0,0.42642743770371977,6,75.0,5.3
35.0,4,50.0,2.0833333333333335,7.033421841478559,4,66.0,0.3231676702348966,4,66.0,5.5
40.0,8,87.0,3.3461538461538463,8.109790370461743,8,87.0,0.4812126907766474,8,87.0,6.5
45.0,8,66.0,2.357142857142857,7.505073723060446,8,66.0,0.45460230933073076,8,66.0,7.357142857142857
50.0,11,115.0,4.2592592592592595,5.640323023915573,11,115.0,0.28747697168365033,11,115.0,9.444444444444445
55.0,14,67.0,2.392857142857143,4.119258561933907,14,138.0,0.23690335519741576,14,138.0,11.357142857142858
60.0,6,48.0,1.8461538461538463,5.6247682172510025,6,109.0,0.27984531642314736,6,109.0,13.846153846153847
65.0,10,47.0,1.46875,6.149612301594086,10,126.0,0.3238413139379952,10,126.0,12.4375
70.0,16,109.0,4.037037037037037,4.084633031939442,16,172.0,0.1850817376157237,16,172.0,17.11111111111111
75.0,14,123.0,3.236842105263158,5.746223376825337,14,203.0,0.3494609090731494,14,203.0,14.105263157894736
80.0,8,117.0,3.342857142857143,7.187025750089076,8,185.0,0.43675645447887396,8,185.0,16.8
85.0,7,139.0,3.475,6.867191079395846,7,191.0,0.3547373455286162,7,191.0,15.5
90.0,16,205.0,6.029411764705882,4.507149223239562,16,257.0,0.20192074123867412,16,257.0,20.176470588235293
95.0,18,257.0,7.138888888888889,3.698894418355676,18,317.0,0.16558019601865023,18,317.0,21.555555555555557
100.0,12,293.0,8.617647058823529,5.108157593238063,12,344.0,0.26960157362315856,12,344.0,25.08823529411765
105.0,8,98.0,2.5789473684210527,6.0054035662547625,8,271.0,0.3066037488959732,8,271.0,23.763157894736842
110.0,10,74.0,1.9473684210526316,6.5798742311666985,10,167.0,0.408164939755202,10,167.0,24.763157894736842
115.0,8,82.0,2.1578947368421053,5.796140522231589,8,153.0,0.304573698674982,8,153.0,26.13157894736842
120.0,6,84.0,2.210526315789474,7.296846482059764,6,132.0,0.3574174857423203,6,132.0,27.236842105263158
125.0,12,127.0,3.5277777777777777,6.026085933930483,12,175.0,0.29131022785055977,12,175.0,29.97222222222222
130.0,16,193.0,5.676470588235294,4.796113869456364,16,241.0,0.19321471197744983,16,241.0,33.6764705882353
135.0,18,238.0,7.0,3.74728271959579,18,306.0,0.16952655005390202,18,306.0,36.411764705882355
140.0,10,258.0,7.818181818181818,5.670473869371019,10,325.0,0.29819586683035093,10,325.0,39.484848484848484
145.0,9,155.0,4.078947368421052,5.6828885875713215,9,301.0,0.31124440981343493,9,301.0,35.60526315789474
150.0,14,180.0,4.5,6.845518810357727,14,258.0,0.41122932501336906,14,258.0,35.225
155.0,18,134.0,3.526315789473684,4.243388293977496,18,212.0,0.19132247168699537,18,212.0,39.28947368421053
160.0,26,255.0,6.219512195121951,3.977468846621811,26,333.0,0.16427831134076168,26,333.0,39.36585365853659
165.0,24,268.0,7.052631578947368,2.616147654272996,24,408.0,0.0830245248192738,24,408.0,45.921052631578945
170.0,18,198.0,4.95,4.42559692739376,18,414.0,0.21714031096449748,18,414.0,46.225
175.0,12,147.0,3.675,4.83970337238787,12,410.0,0.1870062907836559,12,410.0,47.975
180.0,15,204.0,5.230769230769231,3.9308626588517095,15,444.0,0.1410729996062649,15,444.0,50.717948717948715
185.0,14,249.0,5.928571428571429,4.059091562149223,14,472.0,0.20720043129685614,14,472.0,49.07142857142857
190.0,10,283.0,6.738095238095238,4.89560073894545,10,436.0,0.26575125645918996,10,436.0,50.45238095238095
195.0,7,93.0,2.1136363636363638,4.512468333173001,7,338.0,0.18826706953047234,7,338.0,49.22727272727273
200.0,10,41.0,0.9534883720930233,5.3592776302855905,10,223.0,0.27024549049250135,10,223.0,51.44186046511628
205.0,12,65.0,1.5476190476190477,3.2114061475269566,12,235.0,0.11657256221840571,12,235.0,54.19047619047619
210.0,14,95.0,2.159090909090909,4.835008000602971,14,235.0,0.22271464496812451,14,235.0,53.22727272727273
215.0,10,78.0,1.95,3.4538552654880506,10,260.0,0.10578575522089213,10,260.0,60.05
220.0,18,155.0,3.297872340425532,4.797754182276712,18,303.0,0.2997914658051149,18,303.0,52.744680851063826
225.0,20,205.0,4.456521739130435,3.744038303065324,20,371.0,0.21297029302205303,20,371.0,56.06521739130435
230.0,17,234.0,4.875,3.577214824507172,17,406.0,0.19183914316031322,17,406.0,55.5
235.0,14,127.0,2.6458333333333335,3.4927108151242052,14,383.0,0.14032351628312983,14,383.0,57.395833333333336
240.0,14,81.0,1.6875,4.362018537244249,14,240.0,0.19383211300519748,14,240.0,58.708333333333336
245.0,16,119.0,2.4791666666666665,3.6324259126674967,16,284.0,0.12980183216465999,16,284.0,60.375
250.0,18,149.0,3.1041666666666665,4.658903498691146,18,312.0,0.19205457451707134,18,312.0,62.083333333333336
255.0,14,108.0,2.16,5.1281520712850375,14,315.0,0.23732709295189527,14,315.0,61.04
260.0,16,176.0,3.6666666666666665,5.056256425730928,16,343.0,0.27800971212944864,16,343.0,65.04166666666667
265.0,20,235.0,4.895833333333333,3.0470289729269115,20,400.0,0.15349558797281806,20,400.0,67.10416666666667
270.0,20,289.0,6.020833333333333,3.76422221748204,20,442.0,0.19257046681936923,20,442.0,69.1875
275.0,21,344.0,7.166666666666667,2.8858371130274656,21,528.0,0.09671208634412562,21,528.0,71.25
280.0,22,435.0,8.7,3.4358113871606593,22,618.0,0.16494973997028492,22,618.0,70.42
285.0,24,499.0,10.395833333333334,2.2715205934948686,24,694.0,0.07539661093005494,24,694.0,75.85416666666667
290.0,22,561.0,10.38888888888889,4.683154782379085,22,732.0,0.2695896301759578,22,732.0,69.53703703703704
295.0,20,635.0,11.339285714285714,5.679149749800715,20,765.0,0.2662237592144595,20,765.0,68.875
300.0,12,387.0,7.166666666666667,5.084264336628309,12,684.0,0.24042439357442774,12,684.0,72.9074074074074
305.0,14,184.0,3.5384615384615383,4.733475982193639,14,529.0,0.22776560152203415,14,529.0,76.98076923076923
310.0,18,102.0,2.04,3.2894593099231293,18,461.0,0.1469832952228398,18,461.0,81.74
315.0,30,238.0,4.576923076923077,2.835686201233334,30,583.0,0.09148726603538967,30,583.0,81.21153846153847
320.0,34,318.0,6.36,2.0715493065567414,34,709.0,0.07577341547792536,34,709.0,87.94
325.0,29,337.0,6.480769230769231,3.0357442051408743,29,780.0,0.12749459395391607,29,780.0,87.57692307692308
