step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time,average_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,0.0
5.0,0,0.0,0.0,12.752542398692514,0,0.0,0.9339709051684473,0,0.0,0.0
10.0,0,0.0,0.0,12.028631562152706,0,0.0,0.8817925458747841,0,0.0,0.0
15.0,2,2.0,0.1111111111111111,7.246351519915773,2,2.0,0.45001623740099383,2,2.0,0.1111111111111111
20.0,7,32.0,1.7777777777777777,7.9669596446999655,7,32.0,0.4080950821651771,7,32.0,1.7777777777777777
25.0,7,53.0,2.5238095238095237,6.279543829146265,7,53.0,0.38519409414239436,7,53.0,3.0952380952380953
30.0,9,96.0,5.052631578947368,5.838466471752743,9,96.0,0.3120084316910419,9,96.0,5.684210526315789
35.0,6,59.0,2.5652173913043477,5.463216468174247,6,103.0,0.32345993954830554,6,103.0,6.478260869565218
40.0,3,54.0,2.076923076923077,8.383797606845445,3,75.0,0.5561580447556519,3,75.0,6.346153846153846
45.0,4,16.0,0.5517241379310345,8.177501411384975,4,28.0,0.5231378706693596,4,28.0,6.310344827586207
50.0,10,53.0,1.962962962962963,5.58699763182343,10,65.0,0.29793382310740674,10,65.0,8.148148148148149
55.0,12,75.0,2.6785714285714284,4.55509272509409,12,106.0,0.26444765864213166,12,106.0,10.25
60.0,8,100.0,3.8461538461538463,5.136964590391965,8,120.0,0.22795348703467178,8,120.0,12.76923076923077
65.0,6,59.0,1.84375,6.038146416865713,6,114.0,0.30398214601135276,6,114.0,11.625
70.0,13,108.0,3.857142857142857,5.941574285716397,13,128.0,0.2524104942962579,13,128.0,15.035714285714286
75.0,13,125.0,3.289473684210526,6.447229408103444,13,163.0,0.36999771716375635,13,163.0,12.763157894736842
80.0,6,128.0,3.764705882352941,8.145351883463524,6,166.0,0.48966667300716077,6,166.0,15.470588235294118
85.0,4,25.0,0.6578947368421053,6.090904669664284,4,119.0,0.3368067835336323,4,119.0,14.447368421052632
90.0,15,81.0,2.3823529411764706,5.972535802334148,15,113.0,0.2749767452229696,15,113.0,17.794117647058822
95.0,14,110.0,3.142857142857143,4.7059383281917215,14,159.0,0.17662834672181887,14,159.0,19.37142857142857
100.0,9,123.0,3.84375,6.225904822346069,9,166.0,0.29526070780403657,9,166.0,22.875
105.0,6,53.0,1.5588235294117647,6.559629804151078,6,141.0,0.3351331471633215,6,141.0,22.61764705882353
110.0,11,96.0,2.742857142857143,6.626635724255716,11,133.0,0.3682742864651082,11,133.0,23.2
115.0,10,107.0,3.057142857142857,6.54981084491196,10,161.0,0.329414743642816,10,161.0,24.857142857142858
120.0,4,97.0,2.9393939393939394,6.592746670430977,4,146.0,0.3003798113486399,4,146.0,27.363636363636363
125.0,9,125.0,3.787878787878788,7.669474815198841,9,138.0,0.3383360690992861,9,138.0,28.303030303030305
130.0,5,103.0,3.3225806451612905,6.658369853981698,5,134.0,0.31778946832643834,5,134.0,31.29032258064516
135.0,12,150.0,5.172413793103448,5.53334482643369,12,163.0,0.22988913441662603,12,163.0,35.06896551724138
140.0,13,177.0,6.103448275862069,5.951029007717649,13,201.0,0.27415767181397177,13,201.0,37.3448275862069
145.0,15,248.0,8.0,5.915407424763856,15,261.0,0.25712746922721597,15,261.0,37.225806451612904
150.0,12,220.0,6.111111111111111,6.952007475463933,12,294.0,0.40856861778614667,12,294.0,34.138888888888886
155.0,5,157.0,5.064516129032258,6.225664774387065,5,255.0,0.3118494801413701,5,255.0,40.74193548387097
160.0,6,16.0,0.4444444444444444,6.056772591492408,6,125.0,0.30567097117596953,6,125.0,35.77777777777778
165.0,14,70.0,2.2580645161290325,4.093480091990248,14,180.0,0.14954480616365673,14,180.0,43.32258064516129
170.0,15,100.0,2.857142857142857,4.462306050465178,15,210.0,0.2232888484856162,15,210.0,40.542857142857144
175.0,11,115.0,3.7096774193548385,4.489653564295715,11,182.0,0.15722728480330936,11,182.0,47.74193548387097
180.0,7,87.0,2.4857142857142858,5.669555209836408,7,181.0,0.24463602854648916,7,181.0,43.457142857142856
185.0,12,137.0,3.8055555555555554,5.507255843378922,12,216.0,0.26164361559562144,12,216.0,43.638888888888886
190.0,12,157.0,4.131578947368421,5.797531113651849,12,245.0,0.31113581976667726,12,245.0,43.18421052631579
195.0,9,148.0,4.0,5.145552864040186,9,217.0,0.1888797936191606,9,217.0,45.567567567567565
200.0,6,21.0,0.5526315789473685,6.377877562359922,6,166.0,0.31684218465698866,6,166.0,45.39473684210526
205.0,9,49.0,1.4411764705882353,5.024615787808259,9,117.0,0.21538934309046914,9,117.0,51.794117647058826
210.0,12,63.0,1.75,5.240670668779197,12,140.0,0.23814019065794872,12,140.0,50.583333333333336
215.0,7,68.0,2.125,5.259849379956954,7,130.0,0.17694632260656581,7,130.0,58.375
220.0,3,13.0,0.3170731707317073,7.804619768190086,3,88.0,0.4533132253329662,3,88.0,46.170731707317074
225.0,8,41.0,1.1081081081081081,7.378673106648343,8,87.0,0.3786695232410292,8,87.0,51.91891891891892
230.0,14,51.0,1.3076923076923077,4.263163615475483,14,111.0,0.19724363416121915,14,111.0,50.58974358974359
235.0,11,74.0,2.1142857142857143,4.822309533605653,11,133.0,0.19975737980742034,11,133.0,58.22857142857143
240.0,6,44.0,1.1891891891891893,6.181763427719399,6,116.0,0.29743327512731127,6,116.0,56.16216216216216
245.0,13,95.0,2.878787878787879,4.900214489386414,13,140.0,0.2131308348728214,13,140.0,64.51515151515152
250.0,13,122.0,3.4857142857142858,4.66176575090561,13,184.0,0.20304234953252223,13,184.0,62.885714285714286
255.0,9,134.0,3.7222222222222223,5.428438878077468,9,182.0,0.2861095346840958,9,182.0,62.638888888888886
