step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,11.535545705618844,0,0.0,0.8821366468521333,0,0.0
10.0,0,0.0,0.0,12.076533185700498,0,0.0,0.9255773043654195,0,0.0
15.0,3,4.0,0.2222222222222222,7.320606250770699,3,4.0,0.4488982086042398,3,4.0
20.0,8,38.0,2.111111111111111,7.016074012445603,8,38.0,0.3917813769305735,8,38.0
25.0,4,38.0,1.5833333333333333,6.131740110494834,4,53.0,0.34490999759762286,4,53.0
30.0,6,67.0,3.35,7.611699919303014,6,67.0,0.4527690358976901,6,67.0
35.0,4,41.0,1.7083333333333333,6.808114921083802,4,56.0,0.3480841053832881,4,56.0
40.0,8,79.0,3.0384615384615383,8.43772311546015,8,79.0,0.49995502684279686,8,79.0
45.0,2,59.0,2.107142857142857,8.128912567957245,2,91.0,0.4730446799313426,2,91.0
50.0,4,72.0,2.769230769230769,8.066109251676648,4,72.0,0.4710223190708759,4,72.0
55.0,8,101.0,3.607142857142857,7.62381728256084,8,101.0,0.37237893427072444,8,101.0
60.0,12,157.0,6.541666666666667,6.288057936034558,12,157.0,0.21801413171508416,12,157.0
65.0,10,161.0,6.44,5.195085407151466,10,186.0,0.2767232817140362,10,186.0
70.0,12,219.0,9.521739130434783,5.9939230894772395,12,219.0,0.2726113763214539,12,219.0
75.0,10,170.0,5.0,6.853098810575482,10,240.0,0.413148514837329,10,240.0
80.0,4,144.0,4.8,8.139502511899247,4,202.0,0.5187887999637635,4,202.0
85.0,8,151.0,4.194444444444445,6.521186656469862,8,209.0,0.3508196754796987,8,209.0
90.0,18,220.0,7.096774193548387,4.366941018942153,18,278.0,0.1911245100626928,18,278.0
95.0,17,254.0,7.470588235294118,3.99417321300459,17,322.0,0.1788081982803809,17,322.0
100.0,10,256.0,7.757575757575758,5.0955376995027315,10,323.0,0.2435596783260567,10,323.0
105.0,10,306.0,8.5,7.826323861089908,10,323.0,0.3450484299963183,10,323.0
110.0,10,356.0,9.368421052631579,8.643136695644762,10,356.0,0.4470021882808428,10,356.0
115.0,8,305.0,8.970588235294118,7.35750784303663,8,355.0,0.3871967782043377,8,355.0
120.0,14,365.0,12.166666666666666,6.293868114305502,14,365.0,0.351927630108986,14,365.0
125.0,11,395.0,12.34375,5.162862584322582,11,419.0,0.2710506661527232,11,419.0
130.0,13,459.0,15.3,5.884121004802785,13,459.0,0.312330368380848,13,459.0
135.0,11,381.0,11.90625,6.7802496469423446,11,452.0,0.3473809072603154,11,452.0
140.0,11,425.0,14.655172413793103,6.8324198337713185,11,429.0,0.3000946011097229,11,429.0
145.0,8,445.0,13.90625,6.145953681602302,8,468.0,0.29550882414698515,8,468.0
150.0,10,494.0,14.114285714285714,8.037088946156388,10,498.0,0.4877638595135328,10,498.0
155.0,10,544.0,17.0,7.4121658805803605,10,548.0,0.3719048145807816,10,548.0
160.0,18,614.0,18.058823529411764,6.069168117016054,18,618.0,0.22059455985341245,18,618.0
165.0,12,559.0,19.964285714285715,4.918988940626764,12,620.0,0.2392325876943936,12,620.0
170.0,14,616.0,19.870967741935484,5.319728745480074,14,627.0,0.2662859047801441,14,627.0
175.0,12,162.0,5.4,5.716317647468736,12,383.0,0.2908456040642657,12,383.0
180.0,14,225.0,7.5,4.901781324017166,14,236.0,0.1704252153750325,14,236.0
185.0,12,118.0,3.4705882352941178,5.7147201793691895,12,232.0,0.30792023461065327,12,232.0
190.0,13,148.0,4.352941176470588,6.608112046176327,13,179.0,0.34374184829491605,13,179.0
195.0,12,190.0,5.588235294117647,5.861520407468445,12,196.0,0.1991515605015675,12,196.0
200.0,19,270.0,7.9411764705882355,5.650110497518573,19,276.0,0.2182059273372486,19,276.0
205.0,14,177.0,5.709677419354839,3.522361749487695,14,296.0,0.1452798601905258,14,296.0
210.0,11,90.0,2.8125,5.460490670388886,11,244.0,0.303148185343779,11,244.0
215.0,1,1.0,0.03225806451612903,6.0268320493984975,1,176.0,0.27436256503600936,1,176.0
220.0,6,20.0,0.5128205128205128,7.800300327305894,6,162.0,0.4679999474696156,6,162.0
225.0,6,15.0,0.42857142857142855,6.558799278442471,6,140.0,0.3699253599095379,6,140.0
230.0,7,13.0,0.35135135135135137,5.6887739173834175,7,87.0,0.2829286169416853,7,87.0
235.0,9,32.0,0.9142857142857143,4.590891640982016,9,117.0,0.1983005050141802,9,117.0
240.0,15,95.0,2.7142857142857144,3.947353207949073,15,175.0,0.18784691004530907,15,175.0
245.0,18,139.0,3.9714285714285715,3.131074014378456,18,241.0,0.13270975607828275,18,241.0
250.0,24,248.0,6.526315789473684,4.259371803519888,24,329.0,0.18166387890533603,24,329.0
255.0,19,246.0,6.15,3.826606906950546,19,369.0,0.19109892587374772,19,369.0
260.0,15,182.0,4.55,5.832469817706589,15,349.0,0.35414814061122096,15,349.0
265.0,9,120.0,2.857142857142857,6.027343104279254,9,287.0,0.23879612685997265,9,287.0
270.0,7,95.0,2.317073170731707,5.8746653920194,7,305.0,0.33480625398620784,7,305.0
275.0,13,147.0,3.972972972972973,4.448652429260012,13,353.0,0.1998833210295986,13,353.0
280.0,18,180.0,4.5,4.063357028945053,18,406.0,0.20051166391490632,18,406.0
285.0,24,287.0,7.552631578947368,3.266320960473958,24,493.0,0.08913298796180545,24,493.0
290.0,24,310.0,6.888888888888889,4.426866719847399,24,546.0,0.24258289448984394,24,546.0
295.0,16,272.0,6.325581395348837,4.998681267902424,16,482.0,0.26515316285778084,16,482.0
300.0,11,210.0,4.666666666666667,6.4434225936741,11,412.0,0.28851126654025994,11,412.0
305.0,6,165.0,3.75,5.287978779469548,6,389.0,0.2549769203899591,6,389.0
310.0,15,222.0,5.414634146341464,5.089519619985719,15,432.0,0.23463782485150067,15,432.0
315.0,15,263.0,6.261904761904762,3.477735673695542,15,454.0,0.1537138773266061,15,454.0
320.0,12,300.0,7.317073170731708,4.498512319796215,12,437.0,0.2051452924500889,12,437.0
325.0,11,348.0,7.733333333333333,6.184750044445452,11,401.0,0.26344613008303014,11,401.0
330.0,9,364.0,8.465116279069768,6.606402476615314,9,418.0,0.358892338533371,9,418.0
335.0,13,422.0,10.292682926829269,5.267742751948936,13,471.0,0.25244267777175516,13,471.0
340.0,20,474.0,11.85,3.453467037418008,20,526.0,0.10642272976084656,20,526.0
345.0,16,520.0,13.0,5.029489527381418,16,570.0,0.23939250078941,16,570.0
350.0,8,369.0,9.225,4.526293530609452,8,536.0,0.17916981050799152,8,536.0
355.0,13,396.0,10.153846153846153,4.869920252506212,13,477.0,0.23670284255906512,13,477.0
360.0,14,429.0,11.594594594594595,3.1096887233793282,14,524.0,0.070200778623566,14,524.0
365.0,12,460.0,10.222222222222221,6.452400538022587,12,534.0,0.3654927102972196,12,534.0
370.0,8,451.0,10.488372093023257,5.70780752333018,8,546.0,0.27800984580261756,8,546.0
375.0,18,512.0,11.906976744186046,4.442686067502507,18,595.0,0.19363679675532522,18,595.0
380.0,19,570.0,13.902439024390244,3.5337365681727126,19,665.0,0.11305025175579929,19,665.0
385.0,15,612.0,14.232558139534884,5.024149640566276,15,701.0,0.24343802904428574,15,701.0
390.0,14,671.0,16.365853658536587,5.915428677309113,14,726.0,0.21547305007733222,14,726.0
395.0,11,178.0,4.45,5.195576802342865,11,463.0,0.24158699486031635,11,463.0
400.0,18,255.0,6.219512195121951,4.954294290985996,18,310.0,0.2502191064089816,18,310.0
405.0,18,145.0,3.372093023255814,5.2504713147573705,18,293.0,0.27442451970720116,18,293.0
410.0,22,245.0,5.975609756097561,4.45272756315404,22,277.0,0.1676936142057927,22,277.0
415.0,23,253.0,5.883720930232558,4.7653239824679074,23,348.0,0.18563167174328685,23,348.0
420.0,15,195.0,5.27027027027027,3.715424084920174,15,348.0,0.10248050431694831,15,348.0
425.0,7,46.0,1.1219512195121952,5.6883138764983245,7,301.0,0.28364304486016717,7,301.0
430.0,9,56.0,1.5555555555555556,5.2847801482686405,9,253.0,0.23145809874205828,9,253.0
435.0,13,75.0,1.6666666666666667,5.471303600278131,13,272.0,0.3171499373219353,13,272.0
440.0,23,175.0,4.166666666666667,4.406890854358213,23,372.0,0.24015792832964072,23,372.0
445.0,22,187.0,4.155555555555556,3.4446110447776075,22,415.0,0.20419836980954964,22,415.0
450.0,21,162.0,3.7674418604651163,3.3356823956703305,21,375.0,0.12242460847875357,21,375.0
455.0,12,82.0,1.7446808510638299,4.406003356199461,12,387.0,0.18962891435235685,12,387.0
460.0,14,105.0,2.3863636363636362,4.4560820972044795,14,398.0,0.17727755379601168,14,398.0
465.0,15,139.0,3.159090909090909,4.158396331329851,15,412.0,0.17538092383162918,15,412.0
470.0,11,154.0,3.2083333333333335,5.11752707956196,11,371.0,0.2532521469371048,11,371.0
475.0,9,85.0,1.8478260869565217,5.087541341895337,9,370.0,0.2732022123743782,9,370.0
480.0,14,144.0,3.272727272727273,3.896135963383152,14,379.0,0.13457473516089702,14,379.0
485.0,17,177.0,3.847826086956522,3.7248962465091573,17,400.0,0.14838048469057896,17,400.0
490.0,17,205.0,4.767441860465116,3.650390903573554,17,348.0,0.1343325393940824,17,348.0
495.0,10,124.0,2.6956521739130435,4.784832632103239,10,342.0,0.2069705933262788,10,342.0
500.0,11,163.0,3.7906976744186047,4.420096813933272,11,346.0,0.18040773990125766,11,346.0
505.0,11,179.0,3.891304347826087,5.22184741975757,11,354.0,0.27795394252321703,11,354.0
510.0,9,184.0,3.7551020408163267,5.934458247055276,9,313.0,0.30054668303111776,9,313.0
515.0,5,197.0,4.377777777777778,4.688108502767683,5,321.0,0.2207342433271464,5,321.0
520.0,18,260.0,5.531914893617022,3.5793471912983796,18,384.0,0.139474358291994,18,384.0
525.0,18,306.0,6.954545454545454,2.87106114704514,18,429.0,0.11498833994178537,18,429.0
530.0,16,335.0,7.127659574468085,3.4871223292231637,16,432.0,0.15437371582699522,16,432.0
535.0,14,389.0,8.456521739130435,5.095133219596665,14,439.0,0.17236544983391236,14,439.0
540.0,8,254.0,5.7727272727272725,4.546690266106375,8,393.0,0.21053750992794096,8,393.0
545.0,15,314.0,6.826086956521739,5.111943436894889,15,376.0,0.2677119254256678,15,376.0
550.0,16,352.0,7.333333333333333,4.696161094216664,16,429.0,0.24131998683226685,16,429.0
555.0,15,377.0,8.195652173913043,3.595822883928613,15,449.0,0.14409978787759317,15,449.0
560.0,11,334.0,6.958333333333333,4.701508735014911,11,446.0,0.20541969267304347,11,446.0
565.0,15,393.0,8.733333333333333,4.560515874422076,15,465.0,0.19063478465000838,15,465.0
570.0,15,436.0,9.688888888888888,4.190833388717636,15,515.0,0.1694415744909209,15,515.0
575.0,14,466.0,10.837209302325581,4.23318259151643,14,540.0,0.14144456420577403,14,540.0
580.0,13,513.0,10.058823529411764,6.684049168573713,13,561.0,0.35107507567708635,13,561.0
585.0,11,563.0,11.97872340425532,7.574494341216245,11,595.0,0.39327954582195973,11,595.0
590.0,15,625.0,14.204545454545455,6.4720573547561004,15,638.0,0.33156913568165836,15,638.0
595.0,19,717.0,17.071428571428573,6.726150918160364,19,720.0,0.2903110019771008,19,720.0
600.0,14,612.0,14.926829268292684,5.448668940257302,14,717.0,0.2617038629248983,14,717.0
605.0,17,672.0,18.666666666666668,4.809797017898534,17,692.0,0.22937817581461353,17,692.0
610.0,19,230.0,5.897435897435898,3.8700214097076038,19,471.0,0.1528739471298592,19,471.0
615.0,23,338.0,8.24390243902439,4.562204827529275,23,358.0,0.2346982515994194,23,358.0
620.0,20,241.0,5.604651162790698,4.898351945784698,20,378.0,0.2732828797614442,20,378.0
625.0,18,294.0,6.837209302325581,5.142690983848667,18,352.0,0.24201482042127737,18,352.0
630.0,21,347.0,8.069767441860465,4.497863904717986,21,363.0,0.18929153970341464,21,363.0
635.0,23,461.0,11.820512820512821,3.901353740353911,23,474.0,0.10084365033140569,23,474.0
640.0,23,372.0,9.073170731707316,4.2085776254333345,23,522.0,0.18760507232858803,23,522.0
645.0,14,188.0,5.081081081081081,4.408924910689277,14,468.0,0.16876659935297883,14,468.0
650.0,7,43.0,0.9555555555555556,6.6362756719550315,7,408.0,0.3682116025991312,7,408.0
655.0,7,25.0,0.6097560975609756,6.449793496815685,7,397.0,0.3635470038744643,7,397.0
660.0,13,77.0,1.8780487804878048,5.240867579055747,13,447.0,0.19227748978479084,13,447.0
665.0,24,172.0,4.195121951219512,3.489320273149659,24,542.0,0.1092561503320938,24,542.0
670.0,23,192.0,5.052631578947368,2.4259398388897258,23,571.0,0.12038001817358508,23,571.0
675.0,17,148.0,3.7,3.5173150899283856,17,499.0,0.14721788884925582,17,499.0
680.0,11,78.0,1.8571428571428572,4.616269683231706,11,491.0,0.19155526552821123,11,491.0
685.0,12,89.0,2.119047619047619,4.662152892938235,12,538.0,0.20536646263243385,12,538.0
690.0,10,90.0,2.142857142857143,4.924779941353145,10,510.0,0.2501453954973475,10,510.0
695.0,7,79.0,1.880952380952381,5.4093568984779425,7,380.0,0.2502431246380337,7,380.0
700.0,8,89.0,2.0697674418604652,5.772638913109219,8,275.0,0.19716552967125317,8,275.0
705.0,9,117.0,2.7209302325581395,5.44215520347084,9,309.0,0.2314182821874196,9,309.0
710.0,14,176.0,4.756756756756757,4.171486236446207,14,368.0,0.20181522644079625,14,368.0
715.0,17,198.0,4.95,3.614360839239187,17,418.0,0.17872499784485554,17,418.0
720.0,23,298.0,7.842105263157895,2.2519912944713654,23,490.0,0.045221053910888105,23,490.0
725.0,25,315.0,6.428571428571429,4.093911620163784,25,536.0,0.23561270655064764,25,536.0
730.0,19,268.0,5.955555555555556,4.435215880806979,19,473.0,0.23729063062101788,19,473.0
735.0,19,258.0,5.16,5.064122731608571,19,448.0,0.19130185159031432,19,448.0
740.0,14,256.0,5.688888888888889,6.206075108976208,14,417.0,0.24361513973712623,14,417.0
745.0,9,234.0,5.318181818181818,5.965056500361504,9,429.0,0.33059008328625944,9,429.0
750.0,16,298.0,7.2682926829268295,5.121267015914695,16,476.0,0.23332522819225196,16,476.0
