step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.445038820458343,0,0.0,0.9538756258950811,0,0.0
10.0,0,0.0,0.0,12.3196856771386,0,0.0,0.8751705464359668,0,0.0
15.0,4,6.0,0.3333333333333333,6.921210456802267,4,6.0,0.4059922630425221,4,6.0
20.0,9,48.0,2.6666666666666665,6.225512198854847,9,48.0,0.3404050634101717,9,48.0
25.0,6,53.0,2.5238095238095237,5.049180195495302,6,69.0,0.29872892039613974,6,69.0
30.0,11,103.0,4.904761904761905,5.766422924362034,11,103.0,0.25499373077958565,11,103.0
35.0,8,80.0,3.2,5.7171065775317835,8,120.0,0.28532617580267206,8,120.0
40.0,6,89.0,3.2962962962962963,8.244193453042264,6,108.0,0.47947251996323426,6,108.0
45.0,9,126.0,4.064516129032258,6.7125233608217165,9,145.0,0.3573446942737082,9,145.0
50.0,19,196.0,7.2592592592592595,2.75410711570502,19,215.0,0.20017790309359734,19,215.0
55.0,23,304.0,9.806451612903226,2.581297079236997,23,323.0,0.18575872788085468,23,323.0
60.0,20,220.0,7.096774193548387,1.7255123749986792,20,348.0,0.10184622039267646,20,348.0
65.0,21,288.0,7.783783783783784,4.78633019392411,21,335.0,0.22623256185031138,21,335.0
70.0,20,318.0,8.594594594594595,3.527961024430602,20,401.0,0.09703488512325498,20,401.0
75.0,27,443.0,9.844444444444445,4.983676975506847,27,490.0,0.26972686808227436,27,490.0
80.0,21,364.0,8.465116279069768,4.754881831070109,21,532.0,0.2571196489808412,21,532.0
85.0,16,182.0,4.044444444444444,4.809581756345947,16,479.0,0.25549369964222446,16,479.0
90.0,14,155.0,3.4444444444444446,4.466162252852867,14,492.0,0.16209828262065587,14,492.0
95.0,20,233.0,5.295454545454546,3.6176918709994954,20,576.0,0.1810261878277495,20,576.0
100.0,21,169.0,3.9302325581395348,2.4154849965524905,21,597.0,0.1211591314909641,21,597.0
105.0,22,231.0,5.133333333333334,3.689731908111469,22,588.0,0.16643263907491082,22,588.0
110.0,23,250.0,4.901960784313726,3.7934062980448062,23,602.0,0.15175225416500743,23,602.0
115.0,22,228.0,4.653061224489796,5.0604299489047575,22,550.0,0.244298964086404,22,550.0
120.0,16,226.0,4.708333333333333,5.00600250002353,16,440.0,0.16545272835972888,16,440.0
125.0,11,92.0,2.0,4.745611679735136,11,438.0,0.2355033234629043,11,438.0
130.0,14,147.0,3.4186046511627906,4.2124943029443935,14,423.0,0.18296998978255066,14,423.0
135.0,19,190.0,4.130434782608695,4.165492294985784,19,447.0,0.18264664730891253,19,447.0
140.0,15,227.0,5.27906976744186,3.8860455271623637,15,394.0,0.14260545912083875,15,394.0
145.0,13,280.0,5.833333333333333,4.849424678627002,13,465.0,0.23543848837961043,13,465.0
150.0,20,366.0,7.469387755102041,3.989689414409656,20,552.0,0.2491271725654034,20,552.0
155.0,23,233.0,5.065217391304348,2.312107309199383,23,553.0,0.1600750386725991,23,553.0
160.0,26,233.0,4.480769230769231,3.053148163035911,26,506.0,0.13786799744849046,26,506.0
