step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,12.880320407463017,0,0.0,0.9359969053467062,0,0.0
10.0,0,0.0,0.0,11.728707983607036,0,0.0,0.8556327968811172,0,0.0
15.0,3,3.0,0.16666666666666666,6.948736813661985,3,3.0,0.43465413311444806,3,3.0
20.0,8,39.0,2.1666666666666665,7.184339129569796,8,39.0,0.3556162129402232,8,39.0
25.0,5,43.0,1.9545454545454546,5.599679971401557,5,59.0,0.33005410270555846,5,59.0
30.0,6,70.0,3.5,8.390968872007491,6,73.0,0.4756227174143187,6,73.0
35.0,4,60.0,2.5,7.709809551421832,4,60.0,0.29816165404925876,4,60.0
40.0,10,106.0,4.24,7.662902049541037,10,106.0,0.4560416396305624,10,106.0
45.0,11,157.0,6.038461538461538,5.741676515492786,11,157.0,0.38423675395701196,11,157.0
50.0,18,230.0,8.846153846153847,2.7886392516810963,18,230.0,0.21346675087189543,18,230.0
55.0,15,149.0,4.966666666666667,3.027368059981014,15,243.0,0.20408717923719702,15,243.0
60.0,16,212.0,7.066666666666666,4.846878843186265,16,226.0,0.22657240635434042,16,226.0
65.0,16,240.0,6.666666666666667,5.270071686491288,16,262.0,0.2146599036925353,16,262.0
70.0,18,330.0,10.0,4.604099383468393,18,330.0,0.11410471398957094,18,330.0
75.0,18,218.0,5.589743589743589,5.539903328797122,18,349.0,0.338110765782487,18,349.0
80.0,10,109.0,2.945945945945946,6.648918699057556,10,282.0,0.3678434309173786,10,282.0
85.0,6,70.0,1.6666666666666667,7.17921809665995,6,173.0,0.354638912083525,6,173.0
90.0,12,122.0,3.210526315789474,7.949318628634352,12,144.0,0.3397196337138772,12,144.0
95.0,12,182.0,4.918918918918919,8.00486429341688,12,183.0,0.36263504525868007,12,183.0
100.0,14,247.0,7.71875,7.08734205201596,14,247.0,0.25257742966529095,14,247.0
105.0,8,134.0,4.466666666666667,6.532619074135529,8,227.0,0.39323464620945275,8,227.0
110.0,6,149.0,4.515151515151516,7.637595851548346,6,164.0,0.45679957058985843,6,164.0
115.0,10,82.0,2.5625,7.136958962084192,10,149.0,0.4190030095981962,10,149.0
120.0,14,139.0,4.483870967741935,6.484968693418237,14,154.0,0.2857779251353904,14,154.0
125.0,10,147.0,4.59375,5.629117564429274,10,198.0,0.21703752074941898,10,198.0
130.0,9,180.0,6.206896551724138,6.8614521464938685,9,211.0,0.3419976372849475,9,211.0
135.0,11,132.0,4.258064516129032,6.192566397504027,11,151.0,0.2802328661462176,11,151.0
140.0,15,195.0,6.724137931034483,5.4134179722036135,15,214.0,0.23907951150748968,15,214.0
145.0,14,109.0,3.6333333333333333,4.427573951069367,14,217.0,0.25976653069568545,14,217.0
