step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,13.34533363137333,0,0.0,0.9566206093524978,0,0.0
10.0,0,0.0,0.0,11.977552984079816,0,0.0,0.8639975692483735,0,0.0
15.0,4,5.0,0.2777777777777778,6.925664902303456,4,5.0,0.45568642199664466,4,5.0
20.0,7,36.0,2.0,8.146566737102237,7,36.0,0.4082692089362713,7,36.0
25.0,5,46.0,2.090909090909091,6.45215272961667,5,52.0,0.3990398618104129,5,52.0
30.0,6,74.0,3.8947368421052633,7.8263538781687885,6,74.0,0.4629010102337052,6,74.0
35.0,3,44.0,1.9130434782608696,7.514028578861175,3,59.0,0.42713278056662324,3,59.0
40.0,6,64.0,2.56,9.53003995117842,6,64.0,0.57152402201884,6,64.0
45.0,2,63.0,2.423076923076923,8.582576410456692,2,72.0,0.536872764310758,2,72.0
50.0,4,76.0,3.1666666666666665,8.156975917478505,4,76.0,0.46418546377631326,4,76.0
55.0,8,106.0,4.076923076923077,6.870818296921623,8,106.0,0.3663952989505147,8,106.0
60.0,12,158.0,7.181818181818182,5.899066825224917,12,158.0,0.2142166615071692,12,158.0
65.0,7,161.0,6.1923076923076925,6.140810756694638,7,187.0,0.32202286380840994,7,187.0
70.0,6,189.0,8.217391304347826,7.799546254301339,6,191.0,0.40270859988263497,6,191.0
75.0,8,223.0,6.5588235294117645,9.496490843951362,8,223.0,0.5479886784498554,8,223.0
80.0,8,251.0,8.366666666666667,9.114577996323431,8,251.0,0.5534036620504125,8,251.0
85.0,9,293.0,9.766666666666667,6.652315397016848,9,293.0,0.33192667547111965,9,293.0
90.0,12,335.0,11.964285714285714,5.711844444149137,12,338.0,0.2874677733353739,12,338.0
95.0,12,395.0,14.107142857142858,6.483908180504524,12,395.0,0.34635768307020354,12,395.0
100.0,14,459.0,15.3,7.434961251745061,14,459.0,0.28753188187437845,14,459.0
105.0,14,529.0,18.892857142857142,6.276560105767716,14,529.0,0.3039655582190636,14,529.0
110.0,16,605.0,20.166666666666668,5.741557969262698,16,605.0,0.3357658469923391,16,605.0
115.0,12,635.0,21.166666666666668,6.3553975018362205,12,647.0,0.4383303756149572,12,647.0
120.0,15,700.0,22.580645161290324,4.563294045587316,15,700.0,0.19718529853072295,15,700.0
125.0,16,771.0,22.676470588235293,5.420954558216909,16,777.0,0.25467514423903004,16,777.0
130.0,16,851.0,26.59375,5.830038169661645,16,851.0,0.2785802544886578,16,851.0
135.0,18,933.0,27.441176470588236,6.2263942527329466,18,933.0,0.23880912706521637,18,933.0
140.0,18,1023.0,31.96875,5.7449439069358865,18,1023.0,0.2321530405422266,18,1023.0
145.0,19,1114.0,32.76470588235294,5.501492210303515,19,1114.0,0.3035340272300966,19,1114.0
150.0,20,1214.0,33.72222222222222,5.563881181112254,20,1214.0,0.35366013745180985,20,1214.0
155.0,20,1314.0,36.5,3.680671867427724,20,1314.0,0.1975979527483418,20,1314.0
160.0,28,1441.0,36.94871794871795,3.0677509234389846,28,1441.0,0.14503651452413144,28,1441.0
165.0,22,1464.0,38.526315789473685,3.4460244703035143,22,1513.0,0.18088605851276182,22,1513.0
170.0,22,1574.0,36.604651162790695,4.952506275710169,22,1574.0,0.25343426900952215,22,1574.0
175.0,22,1684.0,42.1,4.8412624833962195,22,1684.0,0.16930566678409384,22,1684.0
180.0,22,1794.0,44.85,5.366239962117755,22,1794.0,0.17579129257940698,22,1794.0
185.0,24,1907.0,44.348837209302324,5.605530360600249,24,1907.0,0.24780543673617955,24,1907.0
190.0,25,2028.0,49.46341463414634,4.011016699825286,25,2028.0,0.16302409680805416,25,2028.0
195.0,30,2169.0,54.225,3.301307674854789,30,2169.0,0.15593639915640495,30,2169.0
200.0,27,2273.0,56.825,2.388569059761976,27,2283.0,0.1601109976359574,27,2283.0
205.0,30,2419.0,57.595238095238095,3.3605629912480786,30,2419.0,0.1698527209343078,30,2419.0
210.0,27,2533.0,55.06521739130435,3.380893810738072,27,2548.0,0.15282236084774684,27,2548.0
215.0,27,2668.0,62.04651162790697,4.1782152675568165,27,2668.0,0.1671432384435101,27,2668.0
220.0,26,2792.0,52.679245283018865,5.3131188333231085,26,2792.0,0.26777878670649263,26,2792.0
225.0,32,2940.0,60.0,3.7076157655090842,32,2940.0,0.16068999490898928,32,2940.0
230.0,32,3079.0,60.372549019607845,2.6624756653363773,32,3091.0,0.14332618078470472,32,3091.0
235.0,34,3248.0,64.96,3.775463653786695,34,3248.0,0.16137849483442265,34,3248.0
240.0,29,2493.0,47.94230769230769,3.4212850044377836,29,2962.0,0.12945934463641917,29,2962.0
245.0,33,2625.0,52.5,3.916626530943802,33,2650.0,0.1594349612070995,33,2650.0
250.0,33,2790.0,54.705882352941174,3.4633508052982247,33,2790.0,0.13351096196334528,33,2790.0
255.0,33,2898.0,53.666666666666664,3.6378221689614616,33,2936.0,0.19421072346695192,33,2936.0
260.0,32,3039.0,56.27777777777778,3.563159178834411,32,3051.0,0.1645813135693627,32,3051.0
265.0,31,3074.0,55.89090909090909,3.574513963877486,31,3147.0,0.15037803897216936,31,3147.0
270.0,34,3237.0,58.85454545454545,3.81253978035605,34,3246.0,0.1566985402138236,34,3246.0
275.0,33,3363.0,64.67307692307692,3.2974153526840095,33,3394.0,0.10838533050321901,33,3394.0
280.0,31,3501.0,66.05660377358491,4.207282929795523,31,3518.0,0.19189626428157838,31,3518.0
285.0,31,3656.0,73.12,4.851284510797319,31,3658.0,0.1793813679532378,31,3658.0
290.0,32,3814.0,68.10714285714286,5.357012606848919,32,3816.0,0.24544185863888732,32,3816.0
295.0,33,3979.0,76.51923076923077,3.858703749387212,33,3981.0,0.17138859925726535,33,3981.0
300.0,37,4161.0,83.22,2.5443230684374827,37,4163.0,0.1190513263392904,37,4163.0
305.0,41,4361.0,85.50980392156863,2.616311769369747,41,4363.0,0.11516994514166622,41,4363.0
310.0,41,4566.0,86.15094339622641,2.7734746466817026,41,4568.0,0.11297640369846056,41,4568.0
315.0,43,4778.0,90.15094339622641,2.5816506236929286,43,4780.0,0.11372156324734904,43,4780.0
320.0,41,4957.0,90.12727272727273,3.010154105806348,41,4959.0,0.13783264002155576,41,4959.0
325.0,46,5173.0,90.75438596491227,2.27656195470011,46,5175.0,0.12911814695684365,46,5175.0
330.0,49,5410.0,91.69491525423729,1.3685808780479451,49,5412.0,0.06402031046237572,49,5412.0
335.0,56,5676.0,93.04918032786885,0.828250111397552,56,5678.0,0.05947599717105969,56,5678.0
340.0,57,5960.0,94.60317460317461,0.7662280958464293,57,5962.0,0.05853127817021145,57,5962.0
345.0,60,6256.0,93.3731343283582,0.8616301721492802,60,6258.0,0.06615784188866584,60,6258.0
350.0,63,6567.0,95.17391304347827,0.6162908034059361,63,6569.0,0.043688136657861906,63,6569.0
355.0,66,6890.0,94.38356164383562,0.8795374032802887,66,6892.0,0.06274748924260191,66,6892.0
360.0,70,7230.0,99.04109589041096,0.028271375343665056,70,7232.0,0.001989819730579084,70,7232.0
365.0,75,7596.0,91.51807228915662,1.2340136524995493,75,7598.0,0.0886709878280237,75,7598.0
370.0,77,7974.0,96.07228915662651,0.3281170571596314,77,7976.0,0.02454018777484718,77,7976.0
375.0,81,8376.0,94.11235955056179,1.0274663260804608,81,8378.0,0.05817085195892279,81,8378.0
380.0,84,8785.0,98.70786516853933,0.34915711658466697,84,8787.0,0.007044512484311025,84,8787.0
385.0,87,9217.0,98.05319148936171,0.7139801172457928,87,9219.0,0.04267105053124773,87,9219.0
390.0,91,9664.0,103.91397849462365,0.11747734606530713,91,9666.0,0.008293194739099985,91,9666.0
395.0,93,10125.0,104.38144329896907,0.06624474327487097,93,10127.0,0.0052969449353769986,93,10127.0
400.0,91,10158.0,102.60606060606061,0.414274566052702,91,10444.0,0.02249677368884636,91,10444.0
405.0,84,10015.0,99.15841584158416,0.9440742182453244,84,10588.0,0.021250779639628504,84,10588.0
410.0,73,9302.0,90.31067961165049,1.5814387113662438,73,10714.0,0.05486051489788568,73,10714.0
415.0,62,8590.0,86.76767676767676,1.7288388547482092,62,10567.0,0.054602534249940854,62,10567.0
420.0,53,8449.0,87.10309278350516,1.9639285610790223,53,10586.0,0.06925407432478708,53,10586.0
425.0,53,8619.0,87.06060606060606,2.1282671628287617,53,10573.0,0.08120740813224524,53,10573.0
430.0,58,8860.0,92.29166666666667,2.250963293023919,58,10516.0,0.05202327133167193,58,10516.0
435.0,61,9132.0,93.18367346938776,3.124411308804773,61,10587.0,0.11658274163676817,61,10587.0
440.0,61,9432.0,101.41935483870968,3.4185649600192747,61,10708.0,0.13659716650161055,61,10708.0
445.0,62,9742.0,104.75268817204301,3.6382015590363035,62,10855.0,0.14558188625318302,62,10855.0
450.0,60,9884.0,107.43478260869566,2.6765819112034532,60,10908.0,0.11305610267244813,60,10908.0
455.0,58,9933.0,110.36666666666666,2.442808761795323,58,10580.0,0.0976096272066822,58,10580.0
460.0,51,9970.0,106.06382978723404,2.679753627598612,51,10795.0,0.12048725775966629,51,10795.0
465.0,49,10159.0,109.23655913978494,2.609131044380281,49,10973.0,0.10854245132270338,49,10973.0
470.0,53,10409.0,113.1413043478261,2.5904219301554954,53,11201.0,0.0776951810102336,53,11201.0
475.0,60,10694.0,120.15730337078652,3.108283895495195,60,11472.0,0.11490909678856832,60,11472.0
480.0,62,11000.0,129.41176470588235,3.013140780519496,62,11772.0,0.10935377114514488,62,11772.0
485.0,57,11166.0,132.92857142857142,2.6897148073008497,57,11861.0,0.12033933092551109,57,11861.0
490.0,54,11244.0,137.1219512195122,2.339365322710218,54,11784.0,0.0809808026916625,54,11784.0
495.0,47,11351.0,136.75903614457832,2.4871248658104923,47,11958.0,0.1031441173133014,47,11958.0
500.0,47,11552.0,140.8780487804878,2.9698456026091824,47,12168.0,0.1261328292340765,47,12168.0
505.0,54,11807.0,142.25301204819277,3.3549071909764763,54,12396.0,0.11382913927048247,54,12396.0
510.0,59,12093.0,149.2962962962963,3.353681051576539,59,12675.0,0.1052850828799692,59,12675.0
515.0,56,12280.0,163.73333333333332,2.393083816352568,56,12797.0,0.08621116717803001,56,12797.0
520.0,50,12395.0,163.0921052631579,2.756003572034417,50,12791.0,0.11805355501492718,50,12791.0
525.0,45,12547.0,169.55405405405406,2.561550520694453,45,12961.0,0.10289030685132783,45,12961.0
530.0,50,12790.0,168.28947368421052,2.911035783764962,50,13193.0,0.10879791639776938,50,13193.0
535.0,56,13060.0,178.9041095890411,2.434026633290178,56,13463.0,0.06716109470636585,56,13463.0
540.0,60,13356.0,182.95890410958904,2.19679301007419,60,13759.0,0.06852526590322199,60,13759.0
545.0,60,13656.0,192.33802816901408,1.9113490850267254,60,14059.0,0.08522888844706104,60,14059.0
550.0,62,13959.0,191.21917808219177,1.831073240285737,62,14362.0,0.06779435740354557,62,14362.0
555.0,62,14269.0,198.18055555555554,1.8046605447897437,62,14672.0,0.08373079634671722,62,14672.0
560.0,63,14580.0,197.02702702702703,1.612513894341854,63,14983.0,0.06261596575948718,63,14983.0
565.0,64,14899.0,201.33783783783784,1.6759744224342366,64,15302.0,0.07988597219437084,64,15302.0
570.0,64,15219.0,200.25,1.7507833848653265,64,15622.0,0.07512247812059983,64,15622.0
575.0,66,15546.0,210.0810810810811,1.3942725314967739,66,15949.0,0.05498840649349372,66,15949.0
580.0,66,15876.0,196.0,2.2954674707165226,66,16279.0,0.10105730754977574,66,16279.0
585.0,68,16211.0,207.83333333333334,1.6427477574370037,68,16614.0,0.07336733763527628,68,16614.0
590.0,70,16553.0,204.35802469135803,1.6517536644981348,70,16956.0,0.07647280801547843,70,16956.0
595.0,70,16903.0,211.2875,1.265698176840404,70,17306.0,0.04807761432000688,70,17306.0
600.0,72,17263.0,207.9879518072289,1.602423679678913,72,17666.0,0.0775671363268425,72,17666.0
605.0,72,17623.0,214.91463414634146,1.2652548527619656,72,18026.0,0.053881400357567326,72,18026.0
610.0,74,17991.0,209.19767441860466,1.7179856760774153,74,18394.0,0.053995458845581906,74,18394.0
615.0,74,18361.0,213.5,1.645023910653179,74,18764.0,0.060905554498489375,74,18764.0
620.0,76,18736.0,212.9090909090909,1.837203454238314,76,19139.0,0.057995886782244876,76,19139.0
625.0,70,18513.0,215.2674418604651,1.7289581168572739,70,19210.0,0.0701686998245783,70,19210.0
630.0,62,17885.0,203.23863636363637,2.338802582095575,62,18983.0,0.09829514757375238,62,18983.0
635.0,56,17524.0,203.7674418604651,2.45007652279945,56,19138.0,0.09174765751674739,56,19138.0
640.0,55,17545.0,201.66666666666666,2.657748524638285,55,19409.0,0.10952343153635342,55,19409.0
645.0,52,17725.0,208.52941176470588,2.476470961266567,52,19418.0,0.09514155187766339,52,19418.0
650.0,50,17932.0,208.51162790697674,2.607355976157546,50,19205.0,0.12600145726309206,50,19205.0
655.0,49,18145.0,210.98837209302326,2.323385109496012,49,19450.0,0.11119032062057975,49,19450.0
660.0,53,18392.0,213.86046511627907,2.5995762999056566,53,19697.0,0.11041936994923195,53,19697.0
665.0,57,18622.0,216.53488372093022,2.2483153805423197,57,19749.0,0.07948032409347199,57,19749.0
670.0,54,18840.0,226.9879518072289,2.4823206136447333,54,19611.0,0.09830555795644015,54,19611.0
675.0,51,19052.0,224.14117647058825,2.848756069684096,51,19683.0,0.12943792916035282,51,19683.0
680.0,54,19300.0,232.53012048192772,2.8198787132899925,54,19940.0,0.10810417322404581,54,19940.0
685.0,54,19532.0,232.52380952380952,2.6107102726839457,54,20047.0,0.10068936835895102,54,20047.0
690.0,53,19755.0,253.26923076923077,2.3454756966968895,53,20044.0,0.0877999158207339,53,20044.0
695.0,50,19969.0,249.6125,2.5057109902743084,50,20236.0,0.10029214741703278,50,20236.0
700.0,53,20227.0,259.3205128205128,2.4480449185945363,53,20483.0,0.09583123581728722,53,20483.0
705.0,57,20459.0,258.9746835443038,1.929240408475174,57,20659.0,0.06596334662290915,57,20659.0
710.0,53,20686.0,268.64935064935065,2.5805312977552592,53,20794.0,0.110281316969653,53,20794.0
715.0,51,20890.0,264.43037974683546,2.549198442283442,51,21018.0,0.10346709021661947,51,21018.0
720.0,53,21144.0,281.92,2.1907283769107484,53,21249.0,0.05367450061093388,53,21249.0
