Generation,Average Waiting Time(Fitness)
1,11.608974271110434
2,11.564182728787657
3,11.480501487081044
4,11.480501487081044
5,11.152729852086468
6,10.819198918916173
7,10.557264012499465
8,10.557264012499465
9,10.534316781703273
10,10.208985633174592
11,10.208985633174592
12,10.082919953166995
13,10.066487545037733
14,9.757317829152635
15,9.646064189852659
16,9.646064189852659
17,9.617472709972079
18,9.416313875995794
19,9.357464371413432
20,9.269955448860204
21,9.269955448860204
22,9.239281082651091
23,9.218848959065859
24,9.176851837201522
